MediaCode,name_medium,code_break,break_date,beginbreak_theoretical,type_break,format_break,class_break,type_sport,name_target,grp_ForecastPro_Estimate,grp_LIVE7,program_before,program_before_type1,program_before_type2,program_after,program_after_type1,program_after_type2,break_duration
TV,UNE,SOA,20240310,21:09:43,Prime,Ecran normal,inner,_N/A,HOM 15+,3.447005,2.410000,Vigil,FICTION,SERIE,Vigil,FICTION,SERIE,180
TV,UNE,MZ3,20221214,14:06:40,Off prime,Ecran billboard,bb,_N/A,15+ GS 1-4,1.928571,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO2,20230625,22:13:55,Prime,Ecran normal,normal,_N/A,15+,1.928571,1.670000,Peur sur le lac,FICTION,SERIE,PROMOTION DE LA CHAINE,AUTRES,SEQUENCE,210
TV,UNE,NW1,20230814,20:01:15,Prime,Ecran normal,normal,_N/A,FEM 18-44,2.522628,2.560000,WALLONIE EN FAMILLE,AUTRES,SEQUENCE,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,240
TV,UNE,MA4,20220905,11:52:00,Off prime,Ecran normal,normal,_N/A,4-14,0.163636,0.000000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,SOC,20210308,22:55:38,Off prime,Ecran normal,inner,_N/A,4+,2.221684,2.160000,Baby phone,FICTION,FILM,Baby phone,FICTION,FILM,180
TV,UNE,FI26,20210505,18:25:59,Off prime,Ecran billboard,bb,_N/A,15-24,0.628412,null,DEMAIN NOUS APPARTIENT,FICTION,SERIE,DEMAIN NOUS APPARTIENT,FICTION,SERIE,10
TV,UNE,NW2,20210122,20:15:00,Prime,Ecran normal,normal,_N/A,HOM 18-54 GS 1-4,3.971252,2.140000,SEQUENCE,AUTRES,SEQUENCE,METEO,INFORMATION,METEO,135
TV,UNE,MA4,20230614,11:52:00,Off prime,Ecran normal,normal,_N/A,PRA 25-64,0.646753,1.150000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,DC3,20210217,22:36:42,Off prime,Ecran billboard,bb,_N/A,15+ GS 1-4,2.263200,null,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,10
