date,income
5/15/2016,25873
5/16/2016,22557
5/17/2016,29340
5/18/2016,64640
5/19/2016,40217
5/20/2016,64823
5/21/2016,24400
5/22/2016,37260
5/23/2016,22438
5/24/2016,35952
5/25/2016,23958
5/26/2016,40370
5/27/2016,26629
5/28/2016,106074
5/29/2016,42960
5/30/2016,27160
5/31/2016,70582
6/1/2016,41067
6/2/2016,56087
6/3/2016,107811
6/4/2016,27211
6/5/2016,29222
6/6/2016,99396
6/7/2016,32077
6/8/2016,30499
6/9/2016,87637
6/10/2016,27749
6/11/2016,101267
6/12/2016,34506
6/13/2016,34200
6/14/2016,109040
6/15/2016,30274
6/16/2016,29901
6/17/2016,188195
6/18/2016,59556
6/19/2016,72448
6/20/2016,1129366
6/21/2016,224850
6/22/2016,128620
6/23/2016,96121
6/24/2016,68798
6/25/2016,43856
6/26/2016,39685
6/27/2016,34334
6/28/2016,31492
6/29/2016,35657
6/30/2016,28429
7/1/2016,30016
7/2/2016,25475
7/3/2016,25062
7/4/2016,48978
7/5/2016,45710
7/6/2016,32945
7/7/2016,37920
7/8/2016,26944
7/9/2016,25497
7/10/2016,21804
7/11/2016,24315
7/12/2016,21576
7/13/2016,20190
7/14/2016,28183
7/15/2016,17605
7/16/2016,16026
7/17/2016,16677
7/18/2016,16768
7/19/2016,15415
7/20/2016,13947
7/21/2016,14466
7/22/2016,13958
7/23/2016,15877
7/24/2016,14949
7/25/2016,14652
7/26/2016,13650
7/27/2016,14005
7/28/2016,13248
7/29/2016,12722
7/30/2016,12963
7/31/2016,12614
8/1/2016,12471
8/2/2016,15860
8/3/2016,14911
8/4/2016,12723
8/5/2016,12276
8/6/2016,15896
8/7/2016,14541
8/8/2016,15504
8/9/2016,13972
8/10/2016,15686
8/11/2016,17516
8/12/2016,20682
8/13/2016,13402
8/14/2016,12449
8/15/2016,11799
8/16/2016,9884
8/17/2016,12992
8/18/2016,16810
8/19/2016,14164
8/20/2016,11691
8/21/2016,21603
8/22/2016,15364
8/23/2016,12124
8/24/2016,11040
8/25/2016,10403
8/26/2016,9851
8/27/2016,9794
8/28/2016,9760
8/29/2016,9589
8/30/2016,9413
8/31/2016,9480
9/1/2016,9867
9/2/2016,8794
9/3/2016,9095
9/4/2016,9430
9/5/2016,9904
9/6/2016,8920
9/7/2016,12768
9/8/2016,11486
9/9/2016,11716
9/10/2016,11326
9/11/2016,9727
9/12/2016,9084
9/13/2016,9174
9/14/2016,9664
9/15/2016,9420
9/16/2016,9253
9/17/2016,8905
9/18/2016,9776
9/19/2016,9513
9/20/2016,9132
9/21/2016,8735
9/22/2016,9125
9/23/2016,9502
9/24/2016,10588
9/25/2016,9588
9/26/2016,10832
9/27/2016,11247
9/28/2016,14152
9/29/2016,12195
9/30/2016,10084
10/1/2016,9643
10/2/2016,9584
10/3/2016,13279
10/4/2016,10783
10/5/2016,10659
10/6/2016,12670
10/7/2016,13419
10/8/2016,9878
10/9/2016,9726
10/10/2016,8890
10/11/2016,9522
10/12/2016,9896
10/13/2016,10778
10/14/2016,11137
10/15/2016,11394
10/16/2016,10850
10/17/2016,10498
10/18/2016,12016
10/19/2016,12971
10/20/2016,11647
10/21/2016,10858
10/22/2016,10467
10/23/2016,11358
10/24/2016,11894
10/25/2016,20375
10/26/2016,35512
10/27/2016,18374
10/28/2016,17404
10/29/2016,17231
10/30/2016,15284
10/31/2016,15189
11/1/2016,14513
11/2/2016,22735
11/3/2016,31620
11/4/2016,26618
11/5/2016,18925
11/6/2016,32437
11/7/2016,18943
11/8/2016,16141
11/9/2016,12080
11/10/2016,13154
11/11/2016,14017
11/12/2016,19809
11/13/2016,13482
11/14/2016,12700
11/15/2016,14006
11/16/2016,19198
11/17/2016,16712
11/18/2016,12951
11/19/2016,12704
11/20/2016,12090
11/21/2016,11309
11/22/2016,11675
11/23/2016,11717
11/24/2016,14677
11/25/2016,11251
11/26/2016,18867
11/27/2016,17211
11/28/2016,13938
11/29/2016,13568
11/30/2016,13228
12/1/2016,14324
12/2/2016,16461
12/3/2016,19898
12/4/2016,11246
12/5/2016,11682
12/6/2016,15273
12/7/2016,13512
12/8/2016,19233
12/9/2016,12242
12/10/2016,21808
12/11/2016,21910
12/12/2016,15461
12/13/2016,15094
12/14/2016,15584
12/15/2016,13661
12/16/2016,12059
12/17/2016,11875
12/18/2016,13148
12/19/2016,14163
12/20/2016,12148
12/21/2016,31752
12/22/2016,19656
12/23/2016,16977
12/24/2016,15210
12/25/2016,43259
12/26/2016,25718
12/27/2016,20835
12/28/2016,19266
12/29/2016,22462
12/30/2016,44191
12/31/2016,23240
1/1/2017,17399
1/2/2017,15908
1/3/2017,18030
1/4/2017,15909
1/5/2017,22599
1/6/2017,17553
1/7/2017,18318
1/8/2017,15319
1/9/2017,15671
1/10/2017,14256
1/11/2017,14706
1/12/2017,16084
1/13/2017,14900
1/14/2017,15661
1/15/2017,13264
1/16/2017,13916
1/17/2017,28965
1/18/2017,18367
1/19/2017,17426
1/20/2017,19949
1/21/2017,14936
1/22/2017,24227
1/23/2017,14589
1/24/2017,16955
1/25/2017,15805
1/26/2017,17597
1/27/2017,17584
1/28/2017,14562
1/29/2017,18267
1/30/2017,16046
1/31/2017,22712
2/1/2017,19771
2/2/2017,19809
2/3/2017,15513
2/4/2017,14287
2/5/2017,25653
2/6/2017,20116
2/7/2017,28525
2/8/2017,19667
2/9/2017,19809
2/10/2017,18753
2/11/2017,14209
2/12/2017,20948
2/13/2017,16523
2/14/2017,15352
2/15/2017,19937
2/16/2017,24320
2/17/2017,17752
2/18/2017,18568
2/19/2017,22584
2/20/2017,41971
2/21/2017,18672
2/22/2017,16520
2/23/2017,18375
2/24/2017,21748
2/25/2017,16795
2/26/2017,19076
2/27/2017,15366
2/28/2017,19050
3/1/2017,16962
3/2/2017,20436
3/3/2017,15700
3/4/2017,18131
3/5/2017,14755
3/6/2017,16691
3/7/2017,22583
3/8/2017,31836
3/9/2017,17131
3/10/2017,16143
3/11/2017,13937
3/12/2017,16519
3/13/2017,18204
3/14/2017,16286
3/15/2017,17556
3/16/2017,16476
3/17/2017,15866
3/18/2017,14527
3/19/2017,16298
3/20/2017,17230
3/21/2017,16937
3/22/2017,23123
3/23/2017,18384
3/24/2017,15404
3/25/2017,17875
3/26/2017,18631
3/27/2017,15902
3/28/2017,23482
3/29/2017,15796
3/30/2017,17744
3/31/2017,35497
4/1/2017,17812
4/2/2017,16315
4/3/2017,17372
4/4/2017,16743
4/5/2017,18796
4/6/2017,25073
4/7/2017,15895
4/8/2017,13698
4/9/2017,14334
4/10/2017,16593
4/11/2017,15954
4/12/2017,14805
4/13/2017,20732
4/14/2017,18554
4/15/2017,30567
4/16/2017,26770
4/17/2017,23233
4/18/2017,27008
4/19/2017,19270
4/20/2017,20322
4/21/2017,47730
4/22/2017,22476
4/23/2017,35361
4/24/2017,28634
4/25/2017,23977
4/26/2017,22537
4/27/2017,20293
4/28/2017,17715
4/29/2017,15930
4/30/2017,16373
5/1/2017,21917
5/2/2017,37288
5/3/2017,26682
5/4/2017,51204
5/5/2017,35955
5/6/2017,46347
5/7/2017,50666
5/8/2017,45677
5/9/2017,35880
5/10/2017,26789
5/11/2017,29360
5/12/2017,32110
5/13/2017,24202
5/14/2017,23708
5/15/2017,22602
5/16/2017,33139
5/17/2017,35133
5/18/2017,82687
5/19/2017,39829
5/20/2017,72809
5/21/2017,44914
5/22/2017,51735
5/23/2017,38988
5/24/2017,53518
5/25/2017,34593
5/26/2017,146515
5/27/2017,51587
5/28/2017,38714
5/29/2017,40178
5/30/2017,36688
5/31/2017,48069
6/1/2017,76221
6/2/2017,154308
6/3/2017,38338
6/4/2017,36404
6/5/2017,154061
6/6/2017,46449
6/7/2017,42120
6/8/2017,168433
6/9/2017,69505
